搜索关键词,视频BV号,视频标题,评论作者,评论者ID,性别,评论时间,IP属地,点赞数,评论内容
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,财务勇哥,3546697902852488.0,男,2026-02-16 00:54:58,,0.0,姐，可以给我一个邀请码吗？
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,Joker珈珈辉,478466698.0,保密,2026-02-16 00:18:55,,0.0,太棒了想要
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,iterateself,1024239057.0,保密,2026-02-15 23:21:41,,0.0,up 你好，可以给我一个邀请码吗，我想进 elys 看看，谢谢
elys,BV1MVSUBkEot,亲们：Elys的邀请码请自取🙏在Elys上  有好友问我买拓竹3D打印机  有好友给我提供免费的展位还车接车送    还有好友一起合作,无界工坊3D打印机行深,3461570722008011.0,女,2026-04-09 03:30:19,,1.0,CZCY3P 这个是最新的邀请码 哈哈哈🤣 有需要的请自取
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,海豹六队克莱,3494377087306119.0,保密,2025-06-24 15:11:14,,5.0,在学了
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,圆规座小狼,42686514.0,保密,2025-07-28 11:30:52,,4.0,催更的来了，更新更新更新！！！はやく！！！
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,法语陈老c,1419163307.0,保密,2025-06-18 00:23:55,,4.0,还以为老师忘记账号密码了呢。。。。 一位学习五个月的法语学生留。    （非常喜欢老师教的马赛曲）
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,大猫miwu,1719481657.0,男,2025-06-17 21:47:10,,4.0,哈，多久没更新了呀。大猫支持一下，miwu.
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,违规昵称40404,384566384.0,保密,2026-02-22 22:29:53,,2.0,好好听
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,TheNotorius,385174401.0,保密,2025-07-15 08:53:12,,2.0,声音真好听！有磁性[妙啊]
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,七色莹,1629922245.0,保密,2025-06-18 12:59:43,,2.0,好久不见，从我关注您之后这还是第一次见您更新[星星眼]
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,Lisa_0049,1077039566.0,保密,2025-06-17 22:11:04,,2.0,老师[星星眼]好看爱看，多多更新[打call][打call][打call]
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,易hongyi,3546740309363541.0,保密,2026-02-08 22:01:15,,0.0,老师我想学Indila的love story[蹲蹲]
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,国光先生_我们想你了,1533480453.0,保密,2025-10-24 00:52:59,,0.0,宝藏啊[doge]
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,卷卷卷不停,470959161.0,保密,2025-09-26 23:05:11,,0.0,15:32
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,西点军校校长-达奇,289962613.0,男,2025-08-17 09:05:37,,0.0,能加上音标就好了
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,teslathesecond,39292001.0,保密,2025-06-18 08:36:02,,0.0,结婚！
elys,BV1ixNqzZE3r,【法语翻唱+教唱】歌曲《香榭丽舍大街》les Champs-Elysées,阳光voyage,486595384.0,保密,2025-06-18 10:08:17,,0.0,声音好好听
elys,BV1LGfvBMEsV,未来社交的新规则：Elys 把人“省”掉了？ #elys #AI社交 #AI,有趣人呐,1675077245.0,保密,2026-02-26 16:46:23,,0.0,有邀请码吗，求一个
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,籼米夏凉,22713578.0,保密,2020-01-11 21:59:25,,26.0,封面看成霉霉
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,NooJahBess,25887455.0,男,2020-01-08 00:10:06,,20.0,女歌实在漂亮 我就直说了 馋身子
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,Tetsutau,14935096.0,保密,2020-01-23 17:58:23,,10.0,封面好像霉霉
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,娜拉小狗6,214456043.0,女,2020-01-18 23:07:53,,4.0,女生又美又甜啊啊啊
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,小野未葉,1543250.0,保密,2020-01-14 22:45:51,,2.0,求mp3啊啊啊
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,Lucia-Ya,273872050.0,保密,2020-02-29 11:59:11,,1.0,跪求这个版本的mp3呀
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,new_ep0ch,394077674.0,女,2020-02-04 17:20:51,,1.0,啊是香榭丽舍大道！！！
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,七柚七柚,32991254.0,女,2020-01-09 15:38:49,,1.0,他们还翻过ari的boyfriend
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,老虎w老虎,50550942.0,保密,2020-01-08 00:48:32,,1.0,乌拉～
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,Diddodiddo,28238119.0,保密,2022-05-25 11:50:54,,1.0,求音频！！！！
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,幽兰竹径,449370438.0,保密,2021-06-04 21:15:51,,0.0,鼓手吉它手的眼神不对劲[微笑]
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,幽兰竹径,449370438.0,保密,2021-06-04 21:13:34,,0.0,贝司手叫什么
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,氢化钠加蜡笔,63535003.0,女,2020-10-24 22:11:52,,0.0,小姐姐叫什么www(｀・ω・´)
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,甜甜圈与北极光,407710518.0,保密,2020-10-09 21:05:08,,0.0,我一直听到这句 香水easy
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,月夜見-,7199800.0,女,2020-03-20 00:00:30,,0.0,巴拉巴拉巴
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,东肆的信笺筒,231356369.0,保密,2020-02-02 01:49:29,,0.0,我，我超爱这首歌的。
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,coelvm,4661278.0,保密,2020-02-01 07:06:14,,0.0,[惊喜]我馋
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,夏怪怪,73286550.0,女,2020-01-30 18:38:13,,0.0,好好听!!!!喜欢[打call][画风突变]
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,台灯电灯闪光灯,20803467.0,男,2020-01-23 00:11:27,,0.0,吧啦吧啦吧
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,呀吼_Blue,20078524.0,保密,2020-01-18 23:10:55,,0.0,穿越大吉岭～
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,工具人XY,15747774.0,男,2020-01-13 01:04:19,,0.0,awsl
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,-noone,269099060.0,保密,2020-01-09 09:46:26,,0.0,我太爱了！
elys,BV1sJ411574V,Les Champs-Elysées | Joe Dassin | Pomplamoose ft. John Schroeder,hypostatic实体的,337826763.0,保密,2022-04-21 10:10:58,,0.0,[给心心][口罩][呲牙][呲牙][给心心][给心心]
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,_Jayant_,236701232.0,保密,2021-08-21 20:18:00,,6.0,好响啊[给心心][给心心]
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,冠位奥伯龙单推厨,327278441.0,保密,2021-04-19 21:17:54,,6.0,好好听啊，舒服
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,樱hua鱼,12036932.0,女,2021-06-28 23:21:46,,3.0,[支持][支持][支持]
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,Herodozhes,46520576.0,男,2021-06-01 19:31:15,,3.0,Aux ~~Champs-Élysées~~~
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,踩蘑菇的二大爷,401445543.0,保密,2024-08-12 20:25:29,,3.0,奥运会闭幕式过来的
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,KamChen,126086953.0,保密,2023-08-26 15:05:01,,2.0,好听，初中一直听到现在
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,白色芙蓉王,702232896.0,保密,2025-12-14 16:46:56,,1.0,好听
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,硕翁科罗巴图鲁-,68030266.0,男,2023-03-29 13:19:18,,1.0,学会的第一首法语歌
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,buzzoff,13572515.0,男,2021-12-13 01:21:26,,0.0,[doge]
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,cuber_LMC,1071608135.0,男,2026-02-09 09:45:01,,0.0,"超好听的一首歌！[打call]
自己心血来潮抄了一下这首歌的歌词[大笑]"
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,廣東三區,128408662.0,保密,2025-07-02 12:10:51,,0.0,重温经典
elys,BV1eT4y1j7bM,Les Champs-Elysées (Lyrics Video) - Joe Dassin,MoonArthur的寒舍,21689771.0,男,2022-08-12 06:58:57,,0.0,好清脆的声音爱了爱了
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,瑜伽砖块,2133874269.0,保密,2026-02-26 15:44:55,,1.0,还有5个
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,玩家圣殿,522350559.0,保密,2026-02-26 10:43:08,,1.0,给个码
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,神秘黄发人,499451042.0,保密,2026-03-01 13:39:07,,0.0,这种是否需要挂VPN呢
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,狱梦Yum,3537117036677620.0,男,2026-02-26 18:36:55,,0.0,大佬求个邀请码
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,无界工坊3D打印机行深,3461570722008011.0,女,2026-02-26 06:06:38,,0.0,Elys牛逼的地方是 你真实的展现自己 发的帖子平台所有人都会看到  是所有的数字分身都会看到 然后感兴趣的人就会评论  产生链接  真实的提供价值就好 这个世界真正奖励真实直接提供价值的人
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,皇帝的英语,628216857.0,保密,2026-02-26 19:38:50,,0.0,1.5出一个
elys,BV1mwfaB7Ecb,Elys AI社交平台初体验 亲们一定要尽早用起来 原谅我没洗头 哈哈哈,玩家圣殿,522350559.0,保密,2026-02-26 10:43:22,,0.0,可以吗
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,101种生活-alive,526125547.0,保密,2020-05-13 10:55:07,,79.0,"歌词（法语）:

Aux Champs-Elysées, aux Champs-Elysées
Au soleil, sous la pluie, à midi ou à minuit
Il y a tout ce que vous voulez aux Champs-Elysées

Je m'baladais sur l'avenue le cœur ouvert à l'inconnu
J'avais envie de dire bonjour à n'importe qui
N'importe qui et ce fut toi, je t'ai dit n'importe quoi
Il suffisait de te parler, pour t'apprivoiser

Aux Champs-Elysées, aux Champs-Elysées
Au soleil, sous la pluie, à midi ou à minuit
Il y a tout ce que vous voulez aux Champs-Elysées

Tu m'as dit ""J'ai rendez-vous dans un quart d'heure avec des fous
Qui vivent la guitare à la main, du soir au matin""
Alors je t'ai accompagnée, on a chanté, on a dansé
Et l'on n'a même pas pensé à s'embrasser

Aux Champs-Elysées, aux Champs-Elysées
Au soleil, sous la pluie, à midi ou à minuit
Il y a tout ce que vous voulez aux Champs-Elysées"
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,秃头烂鹅行了叭_jpg,33688570.0,保密,2020-05-21 23:17:06,,48.0,好喜欢这种和朋友们一起合奏一首歌的感觉，太纯粹的快乐了。
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,101种生活-alive,526125547.0,保密,2020-05-13 10:55:17,,35.0,"英语:
At the Champs- Élysées
At the Champs- Élysées
In the sun, under the rain
At noon or at midnight
There is everything you want
At the Champs- Élysées

I have walked along the avenue
The heart opened for the unknown
I wished to say: good morning
No matter whom
No matter who you were
I told you no matter what
It was enough talking to you
For taming you.
 
At the Champs- Élysées
At the Champs- Élysées
In the sun, under the rain
At noon or at midnight
There is everything you want
At the Champs- Élysées
 
You told me: „I have a date
In abasement with the madmen
Who spend with the guitar in the hand
From evening to morning.”
So, i have accompanied you
We sang, we danced
And we weren’t even thinking
Of kissing.
 
At the Champs- Élysées
At the Champs- Élysées
In the sun, under the rain
At noon or at midnight
There is everything you want
At the Champs- Élysées"
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,o潇阑o,390280128.0,保密,2021-01-26 10:36:44,,27.0,因为这首歌入法语坑的举手[doge]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,tristant,31104441.0,保密,2020-12-05 18:16:15,,23.0,法国音乐自成体系
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,o潇阑o,390280128.0,保密,2020-10-17 22:45:31,,19.0,我宁可这首歌不火，不希望新发现的一片净土又被污染。
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,我是momo的狗,434516428.0,女,2020-06-08 17:43:04,,9.0,噢香榭丽舍
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,NooJahBess,25887455.0,男,2021-01-05 02:06:11,,6.0,王若琳曲婉婷就是模仿的她
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,Joshua-Posh,454524556.0,男,2021-04-08 12:36:47,,5.0,喜欢这种慵懒轻松的感觉[2233塔罗牌_比心心]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,物理学概论,12966210.0,保密,2021-03-24 07:25:58,,5.0,法国妞子[热词系列_妙啊][热词系列_知识增加]欧洲小调唱的也好。法语真好听，高极。时髦。洋气。爷[热词系列_爱了爱了][热词系列_可以]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,账号已注销,650772439.0,保密,2021-05-29 17:02:43,,4.0,歌手Pomplamoose，全民k歌告诉我的[OK]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,o潇阑o,390280128.0,保密,2020-10-17 22:44:23,,4.0,好听不火
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,hellohialoha94,316965837.0,女,2020-12-01 23:20:51,,3.0,听完心情瞬间好了[捂眼]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,I只月野兔,32904220.0,女,2020-11-29 19:19:03,,3.0,太快乐啦
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,荟宇,432975250.0,保密,2020-08-24 22:15:02,,3.0,[热词系列_爱了爱了][热词系列_爱了爱了][热词系列_爱了爱了]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,三苗三普陀,533676739.0,保密,2021-06-09 20:18:09,,2.0,"歌词（法语）:

香槟酒-爱丽舍斯，香槟酒-爱丽舍斯
在阳光下，在雨中，在中午或午夜
在香榭丽舍，你想要的都是

我走在大街上，对未知的事物敞开心扉。
我想向任何人问好。
不管是谁，是你，我什么都告诉你了
你所要做的就是和你谈谈，驯服你。

香槟酒-爱丽舍斯，香槟酒-爱丽舍斯
在阳光下，在雨中，在中午或午夜
在香榭丽舍，你想要的都是

你说，“我15分钟后要和疯子开会。
他们手里拿着吉他，从早到晚“
所以我和你一起去，我们唱歌，我们跳舞。
我们甚至都没想过接吻

香槟酒-爱丽舍斯，香槟酒-爱丽舍斯
在阳光下，在雨中，在中午或午夜
在香榭丽舍，你想要的东西都有。"
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,青杳映,35924632.0,女,2021-02-23 12:11:17,,2.0,这是哪个版本，找不到[大哭]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,荟宇,432975250.0,保密,2020-08-25 06:52:22,,2.0,这么好听，给我热起来
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,秃头烂鹅行了叭_jpg,33688570.0,保密,2020-05-21 23:11:59,,2.0,女声又是另一种感觉[热词系列_爱了爱了]
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,三苗三普陀,533676739.0,保密,2021-06-09 20:18:17,,1.0,音频怎么搞？
elys,BV1sZ4y1p7eY,香榭丽舍大街 Les Champs-Elysées,张新村,86119218.0,保密,2021-04-25 09:52:21,,1.0,像发发
